id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
385722,Bling,1404291.0,81.0,15000000.0,Bling,2016.0,5.0,0,0,0,0,0,6.405244610017984,2248.4742222589803,86800.42658796534,6.602375745086427,5.573767110843539,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.52356082573315,7.718451788895266,0
870360,The Day the Earth Blew Up: A Looney Tunes Movie,12641938.0,91.0,15000000.0,The Day the Earth Blew Up: A Looney Tunes Movie,2024.0,8.0,0,0,0,0,0,6.272948454556736,1854.5273755065675,83471.61112115512,6.430474848244637,5.197949667157561,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,16.52356082573315,7.525924234100557,0
41791,Mississippi Masala,7310000.0,118.0,8000000.0,Mississippi Masala,1991.0,9.0,0,0,0,0,0,6.39529138491017,413.4062472202497,28845.89957268646,6.756926134368474,3.282083926778492,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,15.894952224644102,6.026846766170082,0
11007,Cheaper by the Dozen,190212113.0,98.0,40000000.0,Cheaper by the Dozen,2003.0,12.0,1,0,0,1,1,6.359636229156311,900.6323394801783,47139.1932008209,6.646694973276637,4.063100992618851,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17.50439003707821,6.804206831070952,0
8871,How the Grinch Stole Christmas,345800000.0,104.0,123000000.0,How the Grinch Stole Christmas,2000.0,11.0,1,0,1,1,2,6.31793216429196,1202.3587613548716,57052.60192120655,6.547789617750102,4.418130567769716,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,18.627694921466773,7.092871893755392,0
272693,The DUFF,43528634.0,100.0,8500000.0,The DUFF,2015.0,2.0,0,0,0,0,0,6.255959997625588,609.7287011519046,37080.86537751879,6.518381798523686,3.6858908685768537,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,15.955576839107596,6.414652836262313,0
459151,The Boss Baby: Family Business,146745280.0,107.0,82000000.0,The Boss Baby: Family Business,2021.0,7.0,1,0,0,0,1,6.322898146909488,1768.2615236476795,75578.62713205043,6.517384150833156,4.981235603580691,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18.22222981742365,7.478317520229965,0
14926,Uptown Girls,44600000.0,92.0,20000000.0,Uptown Girls,2003.0,8.0,0,0,0,0,0,6.306871548138439,533.1699282695458,36778.86218176431,6.661513385096063,3.5454625940294706,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.811242881518265,6.280714006072903,0
81215,Kinyarwanda,21097.0,100.0,400000.0,Kinyarwanda,2011.0,12.0,0,0,0,0,0,6.360171554894803,576.0318281632611,39073.97718781851,6.665751710107863,3.541485877225199,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,12.899222326086994,6.35789742644822,0
11523,View from the Top,19526014.0,87.0,30000000.0,View from the Top,2003.0,3.0,0,0,0,0,1,6.321669468961175,502.4754372521756,33906.70493533136,6.6496919409951,3.510710365010873,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,17.216707972959764,6.221534926961043,0
